date,obs_hours,obs_nominalrate,obs_consumption,obs_gdpdeflator,obs_gdp,obs_wages,obs_investment
1970-06-30,-45.16205582499367,1.97,-0.3471305657051227,1.3851218301362156,-0.37517698072768724,0.19547841627141072,-1.8510736616922263
1970-09-30,-45.98448220141663,1.6775,0.49495028435515565,0.816444028716834,0.39252109304592775,0.8045493036859308,0.11727421595877363
1970-12-31,-46.756217465344264,1.3925,-0.8290415229487369,1.3143672240550686,-1.614643354937595,-0.32045980579649136,-0.7199465794324844
1971-03-31,-47.476223356817236,0.965,0.7878909464463124,1.5074418687705649,2.13763644295748,0.5300341046730384,1.6886264472252166
1971-06-30,-47.442592891126985,1.1425,0.18783992564803675,1.3044820706725524,-0.009443816870002841,0.15025967977673194,3.215501113578201
1971-09-30,-47.57323089715637,1.37,0.2071896291510278,1.0131443430404286,0.26839334217707567,0.3518276880813742,1.2970085704146594
1971-12-31,-46.95808422264357,1.1875,0.8701497982650741,0.8300245380037818,-0.31988374106104445,-0.14305137604043727,2.114874860466248
1972-03-31,-46.02537310307341,0.8875,0.3035512668098761,1.5075986172944145,1.2653444785734824,1.23846634911704,3.3394222623114143
1972-06-30,-45.77139633919859,1.075,1.2810399982614795,0.6204601095609164,1.6861387107409587,0.5347714569407858,1.2050731895176525
1972-09-30,-45.899650254616816,1.185,0.8906949289666066,0.9529101915728422,0.3830841140706531,0.36978351067172843,0.5978941336914401
1972-12-31,-45.51553131058871,1.2875,1.3120262572609898,1.2676343540758417,1.1052145664163349,0.5991723530715531,3.869831401730328
1973-03-31,-45.060076842188714,1.635,1.317884719286,1.145318003083906,1.8940453426327442,1.449686852344445,3.152601198834054
1973-06-30,-44.4752590443545,1.955,-0.2108852574034259,1.5244507502831794,0.5357227568150824,-0.1461589686963083,0.45020561850832586
1973-09-30,-44.66362830658604,2.64,-0.30789657771534973,1.9298599215022527,-1.0722397762827796,-0.21487629147355358,-0.6563870828359852
1973-12-31,-44.14647489121328,2.5,-0.7786156256146315,1.9709510923926477,0.40771332681371897,0.03057373996988577,-2.004120641704871
1974-03-31,-44.67859110387691,2.3325,-0.3672888602645141,1.8719436550620916,-1.4005260772669392,0.3858400667341444,-2.4150849835298027
1974-06-30,-45.337233255766705,2.8125,0.28276855970776893,2.3335646780298536,-0.29095181889515764,0.2501656727810664,-1.2601247786629854
1974-09-30,-45.57940693122189,3.025,-0.32167216796263887,2.8893995083389523,-1.47350826586653,0.03685727325773991,-1.3352484744104387
1974-12-31,-47.48884753475938,2.335,-2.3912073721755522,2.8995798058897737,-0.9082051239285183,-0.17461556115224708,-5.143840819666528
1975-03-31,-50.266298989685296,1.5775,-0.07465256847429824,2.24619327142781,-1.7373091614164338,0.7453584518641532,-5.3053913102000365
1975-06-30,-50.80369103411597,1.355,0.8582461457275814,1.4755511278367273,0.20354470845374006,0.6350457700255219,-0.849873300187376
1975-09-30,-50.09054008566278,1.54,1.0079824113105706,1.7503716174275485,1.19586522517513,0.0026435847050421124,1.3148809497814606
1975-12-31,-49.89241176136653,1.3525,0.5852752168508779,1.658161312423534,0.8408961857406139,-0.043855003897319556,1.2767805802032073
1976-03-31,-48.742725806993796,1.2075,1.5281748156654729,1.0537025521966115,1.7291498801891292,0.8443569562188225,3.423732383248712
1976-06-30,-48.47947033033456,1.3,0.26250562848748604,1.001086692411679,0.24612586388215174,0.8668443596201281,1.8727695193122895
1976-09-30,-48.31757752548534,1.32,0.7936382457850888,1.2856592566650171,0.0635071369202711,0.7889644151421127,0.7505767264857133
1976-12-31,-48.89420943753648,1.2175,0.6079652096671273,1.7738407376148846,0.24740967634153677,0.33384697149394515,3.9381976083464885
1977-03-31,-48.76746714753685,1.165,0.8874804574904527,1.5993438296328488,0.7016670049760143,0.2780393455480923,3.3896038978588283
1977-06-30,-47.245887444094784,1.29,0.37260390914632957,1.3994733815354987,1.4606729014854491,0.6122356768862969,5.05095974656683
1977-09-30,-47.17224209470316,1.455,0.7589486889040264,1.2105379442332254,1.3262789641178663,0.714205668405582,1.7842919257531398
1977-12-31,-46.305573913498,1.6275,0.31063918418108294,2.136298223457045,-0.4531311278541561,-0.41979967083272673,1.2292638620536256
1978-03-31,-46.62349846102798,1.69,0.2857643011476396,1.4442878514568491,-0.13160294431635577,1.171620109435173,0.871508443435759
1978-06-30,-45.1609940662545,1.82,1.8145386742427938,1.8928907873621448,3.348420257387563,-0.19511814142887385,6.311978519814593
1978-09-30,-45.0148740702912,2.0225,0.0369662605986143,1.683202519169047,0.5618536284233366,0.20934795691086028,2.4915510551767217
1978-12-31,-44.69192025538666,2.395,0.21434125100043833,2.0282555517262324,0.9015258222873967,0.4278946787319826,1.7021827790599076
1979-03-31,-44.24694224215225,2.5175,0.15810684446526668,1.803985272593911,-0.24485462999176422,0.7388813858320076,0.7398657947531445
1979-06-30,-45.10683575148809,2.545,-0.2046293179267744,2.4200469296436378,-0.3131106752469748,-0.15133216594307441,-0.879264384655562
1979-09-30,-44.558715273339175,2.735,0.8505314686030552,2.1642520421815803,0.3264726598438683,0.030281587991448644,1.5564543475749288
1979-12-31,-44.36316668754429,3.395,0.4018347896147967,1.8385284770746857,-0.1537110106573203,0.6700922889062266,-1.1555151760476168
1980-03-31,-45.09751951088574,3.7675,0.33758976624838066,2.0777588335736397,-0.08164226292021182,0.6980731595562117,-1.4890344739175498
1980-06-30,-47.25141318114161,3.1675,-2.599480742234106,2.351966770362468,-2.471537973846394,0.3268644968230261,-9.01373233443102
