date,FYCZZA,FTPZAC
2003-06-30,3.942111111,0.597626984
2003-09-30,4.574453125,1.0973
2003-12-31,4.594445161,1.136217742
2004-03-31,4.287622581,0.915035484
2004-06-30,4.885703226,1.315548387
2004-09-30,4.555475,0.934970313
2004-12-31,4.384990323,0.656735484
2005-03-31,4.42747377,0.608139344
2005-06-30,4.250109375,0.407764063
2005-09-30,4.28216875,0.308814063
2005-12-31,4.575388525,0.380862295
2006-03-31,4.631874194,0.330445161
2006-06-30,5.115469841,0.546525397
2006-09-30,4.923452381,0.365179365
2006-12-31,4.661730645,0.189070968
2007-03-31,4.719591935,0.220964516
2007-06-30,4.8885625,0.378117188
2007-09-30,4.838631746,0.424246032
2007-12-31,4.452924194,0.328998387
2008-03-31,3.980293443,0.301129032
2008-06-30,4.1867,0.621139063
2008-09-30,4.147325,0.58964375
2008-12-31,3.892604839,0.586570968
2009-03-31,3.361537705,0.314106557
2009-06-30,3.803842857,0.694296825
2009-09-30,3.96750625,0.898114063
2009-12-31,3.842925806,0.800816129
2010-03-31,4.038165574,0.930088525
2010-06-30,3.76548125,0.7507875
2010-09-30,3.013478125,0.1403875
2010-12-31,3.098156452,0.137714516
2011-03-31,3.685575806,0.653462903
2011-06-30,3.422526984,0.450609524
2011-09-30,2.58838125,-0.192370313
2011-12-31,2.164634426,-0.423378689
2012-03-31,2.133508065,-0.489367742
2012-06-30,1.881117188,-0.648198438
2012-09-30,1.685163492,-0.779471429
2012-12-31,1.737906557,-0.753201639
2013-03-31,2.010321667,-0.584151667
2013-06-30,2.05035,-0.519814063
2013-09-30,2.8524875,0.10714375
2013-12-31,2.900048387,0.094985484
2014-03-31,2.905531148,0.193127869
2014-06-30,2.731207937,0.164579365
2014-09-30,2.597090625,0.123523438
2014-12-31,2.365680645,-0.014837097
2015-03-31,2.052011475,-0.223347541
2015-06-30,2.26414375,-0.108817188
2015-09-30,2.304275,-0.105904688
