"date","GDP","GDPCTPI","PCE","FPI","CNP16OV","CE16OV","PRS85006013","UNRATE","AWHNONAG","DFF","BAA","GS10","PRS85006063","CES0500000030","CLF16OV","PCEPILFE","COMPNFB","THREEFYTP10"
"1966-03-31",797.3,19.016,470.8,130.3,127511.0,72173.0,52.209,3.9,38.7,4.56,5.17,4.77,6.052,104.01,75072.0,19.517,9.791,NA
"1966-06-30",807.2,19.189,475.9,131.2,127869.0,72594.0,52.876,3.8,38.6,4.91,5.49,4.78,6.208,104.77,75477.0,19.676,9.947,NA
"1966-09-30",820.8,19.359,485.0,131.3,128234.0,73088.0,53.326,3.8,38.4,5.41,5.87,5.14,6.327,105.51,75946.0,19.84,10.089,NA
"1966-12-31",834.9,19.518,490.8,129.4,128617.0,73657.0,53.429,3.7,38.3,5.56,6.14,5.0,6.395,106.35,76483.0,20.013,10.226,NA
"1967-03-31",846.0,19.6,495.1,127.4,129044.0,73572.0,53.652,3.8,38.0,4.82,5.88,4.58,6.474,106.62,76496.0,20.124,10.364,NA
"1967-06-30",851.1,19.717,504.2,131.2,129527.0,74001.0,53.668,3.8,37.8,3.99,5.98,4.82,6.539,106.97,76940.0,20.258,10.532,NA
"1967-09-30",866.6,19.894,511.4,133.6,130166.0,74714.0,53.895,3.8,37.8,3.89,6.33,5.25,6.65,108.49,77663.0,20.441,10.675,NA
"1967-12-31",883.2,20.112,518.9,139.2,130757.0,75216.0,54.165,3.9,37.8,4.17,6.72,5.64,6.771,109.87,78292.0,20.646,10.82,NA
"1968-03-31",911.1,20.332,536.9,143.9,131267.0,75103.0,54.447,3.7,37.7,4.79,6.83,5.61,6.965,111.34,78021.0,20.879,11.111,NA
"1968-06-30",936.3,20.559,550.6,144.9,131712.0,75950.0,54.869,3.6,37.7,5.98,7.02,5.74,7.146,112.98,78746.0,21.121,11.291,NA
"1968-09-30",952.3,20.757,566.7,148.0,132250.0,76101.0,55.259,3.5,37.7,5.95,6.86,5.46,7.314,114.61,78880.0,21.357,11.476,NA
"1968-12-31",970.1,21.047,575.6,154.8,132880.0,76499.0,55.869,3.4,37.6,5.92,7.03,5.77,7.506,116.08,79195.0,21.606,11.705,NA
"1969-03-31",995.4,21.259,587.8,160.9,133476.0,77166.0,56.432,3.4,37.6,6.57,7.38,6.18,7.679,117.94,79874.0,21.846,11.864,NA
"1969-06-30",1011.4,21.54,599.2,163.5,134020.0,77605.0,57.035,3.4,37.6,8.33,7.59,6.35,7.876,119.82,80367.0,22.109,12.056,NA
"1969-09-30",1032.0,21.847,609.5,167.4,134595.0,78153.0,57.429,3.6,37.5,8.98,7.92,6.86,8.055,121.5,81074.0,22.366,12.272,NA
